Operateur;X;Y;2G;3G;4G;postcode
20820;177454.0;6847542.0;1;0;0;29400
20801;177461.0;6864611.0;1;1;1;29233
20815;177547.0;6864630.0;0;1;1;29233
20801;177552.0;6776963.0;0;1;0;29170
20810;177560.0;6864646.0;1;1;1;29233
20820;177562.0;6864642.0;1;1;1;29233
20820;177676.0;6847597.0;1;1;1;29400
20810;177676.0;6847597.0;1;1;1;29400
20801;177738.0;6845946.0;0;1;0;29400
20820;177748.0;6800836.0;1;1;1;29510
20810;177748.0;6800836.0;1;1;1;29510
20815;177786.0;6800855.0;0;1;1;29510
20820;178036.0;6806900.0;1;1;1;29510
20810;178036.0;6806900.0;1;1;1;29510
20801;178230.0;6774231.0;0;1;1;29170
20810;178445.0;6788001.0;1;1;1;29170
20820;178513.0;6787909.0;1;1;1;29170
20801;178524.0;6846354.0;1;1;1;29400
20820;178533.0;6786620.0;1;1;1;29170
20810;178543.0;6786615.0;1;1;1;29170
20815;178553.0;6786600.0;0;1;1;29170
20801;178714.0;6848273.0;1;1;0;29400
20810;178730.0;6779796.0;1;1;1;29940
20820;178735.0;6779796.0;1;1;1;29940
20801;178836.0;6844693.0;1;1;0;29400
20810;178866.0;6844706.0;1;1;1;29400
20820;178874.0;6844708.0;1;1;1;29400
20820;179013.0;6799476.0;1;1;1;29510
20810;179013.0;6799476.0;1;1;1;29510
20801;179244.0;6782707.0;1;1;0;29940
20801;179410.0;6847101.0;0;1;1;29400
20820;179474.0;6862862.0;1;1;1;29250
20810;179474.0;6862862.0;1;1;1;29250
20801;179546.0;6792417.0;1;1;0;29500
20820;179688.0;6852167.0;1;1;1;29400
20810;179693.0;6852159.0;1;1;1;29400
20815;179869.0;6847289.0;0;1;1;29400
20820;180320.0;6800646.0;1;0;0;29510
20810;180678.0;6854030.0;1;1;1;29400
20820;180679.0;6854037.0;1;1;1;29420
20801;180691.0;6854043.0;1;1;1;29420
20801;180983.0;6779869.0;1;1;1;29940
20801;181230.0;6801938.0;1;1;1;29510
20820;181437.0;6828138.0;1;1;0;29190
20810;181437.0;6828138.0;1;1;0;29190
20815;181438.0;6828139.0;0;1;0;29190
20801;181439.0;6828143.0;1;1;0;29190
20820;181495.0;6845657.0;1;1;1;29410
20801;182228.0;6785305.0;1;1;0;29140
20820;182298.0;6785220.0;1;1;1;29140
20815;182299.0;6785221.0;0;1;1;29140
20810;182300.0;6785213.0;1;1;1;29140
20801;182859.0;6775132.0;1;1;0;29900
20810;183167.0;6780531.0;1;1;1;29900
20820;183175.0;6780537.0;1;1;1;29900
20815;183175.0;6780537.0;0;1;1;29900
20801;183330.0;6775018.0;1;1;1;29900
20815;183607.0;6776139.0;0;1;1;29900
20820;183615.0;6776146.0;1;1;1;29900
20810;183615.0;6776152.0;1;1;1;29900
20801;183617.0;6776141.0;1;1;0;29900
20810;183685.0;6859859.0;1;1;1;29420
20820;183687.0;6859845.0;1;1;1;29420
20820;183910.0;6821859.0;1;1;1;29190
20810;183910.0;6821859.0;1;1;1;29190
20820;183986.0;6872438.0;1;0;0;29253
20810;184098.0;6814536.0;1;1;1;29190
20820;184102.0;6814551.0;1;1;1;29190
20815;184103.0;6814552.0;0;1;1;29190
20815;184264.0;6778400.0;0;1;1;29900
20801;184265.0;6778404.0;1;1;0;29900
20801;184267.0;6822214.0;1;1;0;29190
20810;184311.0;6866914.0;1;1;1;29250
20820;184319.0;6866910.0;1;1;1;29250
20801;184376.0;6814718.0;1;1;0;29190
20801;184501.0;6774245.0;1;1;1;29900
20820;184626.0;6777575.0;1;1;1;29900
20810;184630.0;6777570.0;1;1;1;29900
20815;185037.0;6866376.0;0;1;1;29250
